spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",48,2,2,BE,8/17/24,38,TRUE,178205,F-1 Trillion,8/16/24,0.644,0.874,0,-4.723,1,0.0265,0.0113,0,0.227,0.753,128.017,4
6me7F0aaZjwDo6RJ5MrfBD,Evergreen,Richy Mitch & The Coal Miners,49,1,1,BE,8/17/24,89,FALSE,87000,RMCM,5/17/17,0.555,0.216,3,-11.661,1,0.0721,0.557,0.00416,0.109,0.504,79.109,3
629DixmZGHc7ILtEntuiWE,LUNCH,Billie Eilish,50,0,0,BE,8/17/24,93,FALSE,179586,HIT ME HARD AND SOFT,5/17/24,0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,4
1BJJbSX6muJVF2AK7uH1x4,Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",1,1,0,BE,8/16/24,91,FALSE,177598,Move,6/7/24,0.727,0.782,8,-8.529,0,0.042,0.0563,0.336,0.225,0.655,119.992,4
4MSj19TwYBLgDFj3ddEeco,Black Friday (pretty like the sun),"Lost Frequencies, Tom Odell",2,-1,0,BE,8/16/24,85,FALSE,145599,Black Friday (pretty like the sun),7/19/24,0.853,0.618,6,-10.833,1,0.0923,0.633,0.89,0.0972,0.32,126.031,4
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,3,0,0,BE,8/16/24,91,FALSE,180304,Fireworks & Rollerblades,4/5/24,0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,3
5uQ7de4EWjb3rkcFxyEOpu,Belong Together,Mark Ambor,4,1,1,BE,8/16/24,91,FALSE,148317,Belong Together,2/16/24,0.646,0.668,2,-5.203,1,0.0282,0.491,0,0.212,0.64,90.969,4
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,5,-1,6,BE,8/16/24,100,FALSE,210373,HIT ME HARD AND SOFT,5/17/24,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
0h3Xy4V4apMraB5NuM8U7Z,Stumblin' In,CYRIL,6,0,1,BE,8/16/24,89,FALSE,213363,Stumblin' In,11/10/23,0.875,0.518,2,-8.388,1,0.0551,0.0638,0.00995,0.125,0.37,126.089,4
331l3xABO0HMr1Kkyh2LZq,I Don't Wanna Wait,"David Guetta, OneRepublic",7,3,1,BE,8/16/24,91,FALSE,149667,I Don't Wanna Wait,4/5/24,0.681,0.714,1,-4.617,0,0.0309,0.0375,0,0.232,0.554,129.976,4
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,8,-1,1,BE,8/16/24,98,TRUE,175459,Espresso,4/12/24,0.701,0.76,0,-5.478,1,0.0285,0.107,6.54E-05,0.185,0.69,103.969,4
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,9,-1,-5,BE,8/16/24,93,FALSE,172533,Stargazing,5/10/24,0.635,0.601,1,-6.129,0,0.0295,0.246,0,0.11,0.332,123.994,4
2fFTn0f94EopgZyfSGQuyK,SPIDER,"GIMS, DYSTINCT",10,-1,-4,BE,8/16/24,83,FALSE,188818,SPIDER,5/10/24,0.823,0.691,9,-7.322,0,0.197,0.0774,1.73E-06,0.1,0.707,119.96,4
37tGmKyKlr8vyt9BVdoWQo,SOIS PAS TIMIDE,GIMS,11,0,1,BE,8/16/24,80,FALSE,165978,SOIS PAS TIMIDE,7/19/24,0.917,0.658,1,-7.253,1,0.0933,0.0896,9.78E-06,0.0733,0.795,127.936,4
1LY3GhF0zxIVgbYEQjCbUO,The Sound of Silence - CYRIL Remix,"Disturbed, CYRIL",12,1,2,BE,8/16/24,87,FALSE,185238,The Sound of Silence (CYRIL Remix),2/2/24,0.68,0.721,6,-4.379,0,0.188,0.123,0,0.162,0.244,125.963,4
2uqYupMHANxnwgeiXTZXzd,Austin (Boots Stop Workin'),Dasha,13,1,2,BE,8/16/24,91,TRUE,171782,What Happens Now?,2/16/24,0.756,0.672,0,-6.743,1,0.0522,0.464,3.37E-06,0.108,0.739,114.935,4
2esZG2XFtuoWWA9AfDvSxy,Gata Only,"FloyyMenor, Cris Mj",14,-2,36,BE,8/16/24,70,TRUE,222000,EL COMIENZO,8/9/24,0.794,0.5,8,-8.454,0,0.049,0.438,3.00E-05,0.0905,0.659,99.985,4
5OFVzqSeFxGpvDGyHvVeLj,It's Not Right But It's Okay,Mr. Belt & Wezol,15,0,2,BE,8/16/24,83,FALSE,152304,It's Not Right But It's Okay,2/23/24,0.755,0.86,5,-4.811,0,0.0523,0.0144,7.47E-06,0.344,0.618,128.004,4
5Z0UnEtpLDQyYlWwgi8m9C,Too Sweet,Hozier,16,0,0,BE,8/16/24,88,FALSE,251424,Unreal Unearth: Unheard,3/22/24,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,4
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,17,0,1,BE,8/16/24,88,TRUE,171291,"Where I've Been, Isn't Where I'm Going",5/31/24,0.722,0.706,9,-4.857,1,0.0292,0.072,0,0.067,0.599,80.969,4
3JG1uFc40wfyrqaWC7iv0e,i like the way you kiss me,Artemas,18,3,4,BE,8/16/24,79,FALSE,142514,yustyna,7/11/24,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,4
6IcsbETuviVu6UTiBTcxY4,Imagine,Carbonne,19,0,0,BE,8/16/24,81,FALSE,165775,Imagine,5/3/24,0.788,0.627,0,-9.072,0,0.0751,0.693,0,0.232,0.909,118.093,4
3q8VDAS1z0x5VavigoDXHl,On Met La Patate (Belgian Anthem),"Omdat Het Kan, Average Rob",20,4,6,BE,8/16/24,61,FALSE,192774,On Met La Patate (Belgian Anthem),5/28/24,0.632,0.948,10,-4.171,0,0.0923,0.00538,5.05E-05,0.194,0.302,155.057,4
7qbJ4Dh8xuYUFdAWL8SFPK,Guess featuring Billie Eilish,"Charli xcx, Billie Eilish",21,29,29,BE,8/16/24,71,FALSE,143330,Guess featuring Billie Eilish,8/1/24,0.78,0.713,0,-4.493,1,0.0888,0.0167,0.206,0.144,0.615,130.034,4
2hIFhSltVcRU1oJ3kf8Zy4,Sugardaddy,Roxy Dekker,22,0,3,BE,8/16/24,74,FALSE,131796,Sugardaddy,4/4/24,0.84,0.856,1,-3.743,1,0.112,0.215,0.00071,0.0651,0.794,127.046,4
5496lks6V3fh1mZAB6IAap,Alibi (with Pabllo Vittar & Yseult),"Sevdaliza, Pabllo Vittar, Yseult",23,-3,-3,BE,8/16/24,93,FALSE,161655,Alibi (with Pabllo Vittar & Yseult),6/28/24,0.741,0.754,11,-5.412,0,0.0327,0.00526,8.21E-06,0.125,0.717,126.98,4
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,24,-1,-3,BE,8/16/24,91,FALSE,210688,I've Tried Everything But Therapy (Part 1),9/15/23,0.561,0.604,9,-4.409,1,0.0337,0.199,1.90E-05,0.104,0.242,159.92,3
48lxT5qJF0yYyf2z4wB4xW,Pedro,"Jaxomy, Agatino Romero, Raffaella Carrà",25,4,-2,BE,8/16/24,87,FALSE,144846,Pedro,3/29/24,0.788,0.936,9,-6.294,1,0.301,0.0229,1.30E-06,0.311,0.844,151.019,4
4HDC7Mo6uLTujRvHymiXDf,Mwaki,"Zerb, Sofiya Nzau",26,1,24,BE,8/16/24,74,FALSE,208135,Mwaki,11/10/23,0.847,0.637,7,-8.751,0,0.0587,0.201,0.201,0.121,0.0509,120.033,4
51eSHglvG1RJXtL3qI5trr,Slow It Down,Benson Boone,27,-1,0,BE,8/16/24,90,FALSE,161831,Fireworks & Rollerblades,4/5/24,0.432,0.583,8,-4.682,1,0.0687,0.174,0,0.0933,0.544,181.489,4
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,28,-3,4,BE,8/16/24,96,FALSE,218423,"Good Luck, Babe!",4/5/24,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,29,5,9,BE,8/16/24,96,FALSE,195824,Si Antes Te Hubiera Conocido,6/21/24,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4
0uHrMbMv3c78398pIANDqR,Europapa,Joost,30,6,7,BE,8/16/24,78,FALSE,160218,Europapa,2/29/24,0.706,0.94,11,-4.969,0,0.168,0.173,0.000349,0.228,0.479,160.068,4
6ifKXZTqAuLA35TGCVuGBU,Ik Wil Dat Je Liegt,"Hannah Mae, MAKSIM",31,-3,2,BE,8/16/24,68,FALSE,174953,Ik Wil Dat Je Liegt,5/23/24,0.688,0.513,2,-5.97,0,0.0342,0.536,0,0.134,0.168,106.984,4
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,32,-2,18,BE,8/16/24,88,TRUE,244360,Long Way Down (Deluxe),6/24/13,0.445,0.537,4,-8.532,0,0.04,0.695,1.65E-05,0.0944,0.131,122.769,4
02nm2yGw7BygWmRcbFhAlC,Gaan We Weg?,"Roxy Dekker, Ronnie Flex",33,-2,-4,BE,8/16/24,76,FALSE,141775,Gaan We Weg?,7/12/24,0.483,0.776,0,-4.584,0,0.0665,0.15,0,0.0709,0.519,128.036,4
09CnYHiZ5jGT1wr1TXJ9Zt,Thank You (Not So Bad),"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",34,1,2,BE,8/16/24,86,FALSE,140000,Thank You (Not So Bad),12/1/23,0.673,0.95,11,-5.149,1,0.0488,0.0229,0.0823,0.398,0.563,150.019,4
1CDQzbCz4KSQxHe7LMEgRM,Houdini,Eminem,35,-2,-4,BE,8/16/24,84,TRUE,227032,The Death of Slim Shady (Coup De Grâce),7/12/24,0.936,0.878,9,-2.798,0,0.0723,0.0283,2.31E-06,0.0689,0.902,126.992,4
3bK1zVFBKIzYjmptmI4NsJ,Overdrive (feat. Norma Jean Martine),"Ofenbach, Norma Jean Martine",36,2,-6,BE,8/16/24,84,FALSE,155905,Overdrive (feat. Norma Jean Martine),10/6/23,0.611,0.757,6,-3.546,1,0.03,0.00257,0,0.058,0.279,126.963,4
3mfER4ORePHvN35cbZ3dkV,Where Are You Now,"Lost Frequencies, Calum Scott",37,3,11,BE,8/16/24,83,FALSE,149066,All Stand Together,11/10/23,0.762,0.632,6,-8.312,0,0.085,0.51,0.000205,0.18,0.282,121.031,4
2PYMw8P6kuCHqhltz47XMr,Bah Ouais - Nouvelle École,Dadi,38,-6,-14,BE,8/16/24,76,FALSE,201951,Nouvelle École | Saison 3 | La Finale (Série Netflix),7/22/24,0.836,0.591,6,-7.162,1,0.0809,0.389,0,0.161,0.461,128.034,4
4uzKAj0mIyYmyhsRRyPXaQ,Carry You Home,Alex Warren,39,2,4,BE,8/16/24,84,FALSE,166880,Carry You Home,5/31/24,0.525,0.66,10,-7.094,1,0.111,0.468,3.30E-06,0.128,0.458,123.787,4
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Sabrina Carpenter,40,-3,-5,BE,8/16/24,98,TRUE,186365,Please Please Please,6/6/24,0.669,0.586,9,-6.073,1,0.054,0.274,0,0.104,0.579,107.071,4
59NraMJsLaMCVtwXTSia8i,Prada,"cassö, RAYE, D-Block Europe",41,1,1,BE,8/16/24,85,TRUE,132359,Prada,8/11/23,0.638,0.717,8,-5.804,1,0.0375,0.001,1.79E-06,0.113,0.422,141.904,4
3dj4wgM3cPeuLwMNHDuBon,The Door,Teddy Swims,42,2,-3,BE,8/16/24,86,FALSE,212648,I've Tried Everything But Therapy (Part 1),9/15/23,0.731,0.861,8,-5.483,0,0.0532,0.0193,0,0.123,0.759,127.922,4
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,43,7,7,BE,8/16/24,88,FALSE,225280,Hunting High and Low,6/1/85,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
0U0ldCRmgCqhVvD6ksG63j,Nightcall,Kavinsky,44,6,6,BE,8/16/24,72,FALSE,258413,Nightcall,1/1/10,0.532,0.874,9,-5.183,0,0.0482,0.00842,0.012,0.452,0.361,91.038,4
2hrycoFU1mZw6YPvMcn8yC,KEHLANI,Jordan Adetunji,45,0,0,BE,8/16/24,88,FALSE,122360,KEHLANI,6/24/24,0.645,0.634,10,-3.769,0,0.0341,0.158,3.78E-06,0.0908,0.352,160.017,4
5b5cPscqVEMChvDqscVw26,Training Season,Dua Lipa,46,1,1,BE,8/16/24,83,FALSE,209487,Radical Optimism,5/3/24,0.812,0.587,5,-4.483,0,0.0477,0.0349,2.64E-06,0.123,0.664,123.041,4
31nfdEooLEq7dn3UMcIeB5,Vois sur ton chemin - Techno Mix,BENNETT,47,-1,-6,BE,8/16/24,83,FALSE,178156,Vois sur ton chemin (Techno Mix),8/4/23,0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,4
3hRV0jL3vUpRrcy398teAU,The Night We Met,Lord Huron,48,-5,-2,BE,8/16/24,90,FALSE,208211,Strange Trails,4/6/15,0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
0xoYZ45fgTfyQYREZPN7Sa,You & Me - Rivo Remix,"Disclosure, Eliza Doolittle, Rivo",49,1,1,BE,8/16/24,84,FALSE,208524,You & Me (Rivo Remix),12/22/23,0.702,0.797,10,-6.635,0,0.0557,0.583,0.495,0.179,0.0356,122.011,4
629DixmZGHc7ILtEntuiWE,LUNCH,Billie Eilish,50,-1,0,BE,8/16/24,93,FALSE,179586,HIT ME HARD AND SOFT,5/17/24,0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,4
4MSj19TwYBLgDFj3ddEeco,Black Friday (pretty like the sun),"Lost Frequencies, Tom Odell",1,1,1,BE,8/15/24,85,FALSE,145599,Black Friday (pretty like the sun),7/19/24,0.853,0.618,6,-10.833,1,0.0923,0.633,0.89,0.0972,0.32,126.031,4
1BJJbSX6muJVF2AK7uH1x4,Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",2,-1,-1,BE,8/15/24,91,FALSE,177598,Move,6/7/24,0.727,0.782,8,-8.529,0,0.042,0.0563,0.336,0.225,0.655,119.992,4
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,3,0,1,BE,8/15/24,91,FALSE,180304,Fireworks & Rollerblades,4/5/24,0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,3
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,4,1,7,BE,8/15/24,100,FALSE,210373,HIT ME HARD AND SOFT,5/17/24,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
5uQ7de4EWjb3rkcFxyEOpu,Belong Together,Mark Ambor,5,-1,0,BE,8/15/24,91,FALSE,148317,Belong Together,2/16/24,0.646,0.668,2,-5.203,1,0.0282,0.491,0,0.212,0.64,90.969,4
0h3Xy4V4apMraB5NuM8U7Z,Stumblin' In,CYRIL,6,1,2,BE,8/15/24,90,FALSE,213363,Stumblin' In,11/10/23,0.875,0.518,2,-8.388,1,0.0551,0.0638,0.00995,0.125,0.37,126.089,4
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,7,-1,0,BE,8/15/24,98,TRUE,175459,Espresso,4/12/24,0.701,0.76,0,-5.478,1,0.0285,0.107,6.54E-05,0.185,0.69,103.969,4
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,8,0,-5,BE,8/15/24,93,FALSE,172533,Stargazing,5/10/24,0.635,0.601,1,-6.129,0,0.0295,0.246,0,0.11,0.332,123.994,4
2fFTn0f94EopgZyfSGQuyK,SPIDER,"GIMS, DYSTINCT",9,0,-3,BE,8/15/24,83,FALSE,188818,SPIDER,5/10/24,0.823,0.691,9,-7.322,0,0.197,0.0774,1.73E-06,0.1,0.707,119.96,4
331l3xABO0HMr1Kkyh2LZq,I Don't Wanna Wait,"David Guetta, OneRepublic",10,0,-1,BE,8/15/24,91,FALSE,149667,I Don't Wanna Wait,4/5/24,0.681,0.714,1,-4.617,0,0.0309,0.0375,0,0.232,0.554,129.976,4
37tGmKyKlr8vyt9BVdoWQo,SOIS PAS TIMIDE,GIMS,11,0,2,BE,8/15/24,80,FALSE,165978,SOIS PAS TIMIDE,7/19/24,0.917,0.658,1,-7.253,1,0.0933,0.0896,9.78E-06,0.0733,0.795,127.936,4
2esZG2XFtuoWWA9AfDvSxy,Gata Only,"FloyyMenor, Cris Mj",12,0,38,BE,8/15/24,68,TRUE,222000,EL COMIENZO,8/9/24,0.794,0.5,8,-8.454,0,0.049,0.438,3.00E-05,0.0905,0.659,99.985,4
1LY3GhF0zxIVgbYEQjCbUO,The Sound of Silence - CYRIL Remix,"Disturbed, CYRIL",13,37,1,BE,8/15/24,87,FALSE,185238,The Sound of Silence (CYRIL Remix),2/2/24,0.68,0.721,6,-4.379,0,0.188,0.123,0,0.162,0.244,125.963,4
2uqYupMHANxnwgeiXTZXzd,Austin (Boots Stop Workin'),Dasha,14,0,2,BE,8/15/24,91,TRUE,171782,What Happens Now?,2/16/24,0.756,0.672,0,-6.743,1,0.0522,0.464,3.37E-06,0.108,0.739,114.935,4
5OFVzqSeFxGpvDGyHvVeLj,It's Not Right But It's Okay,Mr. Belt & Wezol,15,0,2,BE,8/15/24,83,FALSE,152304,It's Not Right But It's Okay,2/23/24,0.755,0.86,5,-4.811,0,0.0523,0.0144,7.47E-06,0.344,0.618,128.004,4
5Z0UnEtpLDQyYlWwgi8m9C,Too Sweet,Hozier,16,34,-1,BE,8/15/24,89,FALSE,251424,Unreal Unearth: Unheard,3/22/24,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,4
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,17,-1,2,BE,8/15/24,88,TRUE,171291,"Where I've Been, Isn't Where I'm Going",5/31/24,0.722,0.706,9,-4.857,1,0.0292,0.072,0,0.067,0.599,80.969,4
3WOhcATHxK2SLNeP5W3v1v,Guess featuring Billie Eilish,"Charli xcx, Billie Eilish",18,1,-6,BE,8/15/24,91,FALSE,143330,Guess featuring Billie Eilish,8/1/24,0.776,0.667,7,-6.622,1,0.0983,0.0146,0.3,0.0761,0.618,130.019,4
6IcsbETuviVu6UTiBTcxY4,Imagine,Carbonne,19,-1,-1,BE,8/15/24,81,FALSE,165775,Imagine,5/3/24,0.788,0.627,0,-9.072,0,0.0751,0.693,0,0.232,0.909,118.093,4
5496lks6V3fh1mZAB6IAap,Alibi (with Pabllo Vittar & Yseult),"Sevdaliza, Pabllo Vittar, Yseult",20,0,0,BE,8/15/24,93,FALSE,161655,Alibi (with Pabllo Vittar & Yseult),6/28/24,0.741,0.754,11,-5.412,0,0.0327,0.00526,8.21E-06,0.125,0.717,126.98,4
3JG1uFc40wfyrqaWC7iv0e,i like the way you kiss me,Artemas,21,0,0,BE,8/15/24,79,FALSE,142514,yustyna,7/11/24,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,4
2hIFhSltVcRU1oJ3kf8Zy4,Sugardaddy,Roxy Dekker,22,0,1,BE,8/15/24,74,FALSE,131796,Sugardaddy,4/4/24,0.84,0.856,1,-3.743,1,0.112,0.215,0.00071,0.0651,0.794,127.046,4
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,23,0,-1,BE,8/15/24,91,FALSE,210688,I've Tried Everything But Therapy (Part 1),9/15/23,0.561,0.604,9,-4.409,1,0.0337,0.199,1.90E-05,0.104,0.242,159.92,3
3q8VDAS1z0x5VavigoDXHl,On Met La Patate (Belgian Anthem),"Omdat Het Kan, Average Rob",24,2,0,BE,8/15/24,61,FALSE,192774,On Met La Patate (Belgian Anthem),5/28/24,0.632,0.948,10,-4.171,0,0.0923,0.00538,5.05E-05,0.194,0.302,155.057,4
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,25,-1,7,BE,8/15/24,96,FALSE,218423,"Good Luck, Babe!",4/5/24,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
51eSHglvG1RJXtL3qI5trr,Slow It Down,Benson Boone,26,-1,2,BE,8/15/24,90,FALSE,161831,Fireworks & Rollerblades,4/5/24,0.432,0.583,8,-4.682,1,0.0687,0.174,0,0.0933,0.544,181.489,4
4HDC7Mo6uLTujRvHymiXDf,Mwaki,"Zerb, Sofiya Nzau",27,0,23,BE,8/15/24,74,FALSE,208135,Mwaki,11/10/23,0.847,0.637,7,-8.751,0,0.0587,0.201,0.201,0.121,0.0509,120.033,4
6ifKXZTqAuLA35TGCVuGBU,Ik Wil Dat Je Liegt,"Hannah Mae, MAKSIM",28,0,3,BE,8/15/24,68,FALSE,174953,Ik Wil Dat Je Liegt,5/23/24,0.688,0.513,2,-5.97,0,0.0342,0.536,0,0.134,0.168,106.984,4
48lxT5qJF0yYyf2z4wB4xW,Pedro,"Jaxomy, Agatino Romero, Raffaella Carrà",29,0,-4,BE,8/15/24,87,FALSE,144846,Pedro,3/29/24,0.788,0.936,9,-6.294,1,0.301,0.0229,1.30E-06,0.311,0.844,151.019,4
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,30,2,20,BE,8/15/24,88,TRUE,244360,Long Way Down (Deluxe),6/24/13,0.445,0.537,4,-8.532,0,0.04,0.695,1.65E-05,0.0944,0.131,122.769,4
02nm2yGw7BygWmRcbFhAlC,Gaan We Weg?,"Roxy Dekker, Ronnie Flex",31,0,-5,BE,8/15/24,76,FALSE,141775,Gaan We Weg?,7/12/24,0.483,0.776,0,-4.584,0,0.0665,0.15,0,0.0709,0.519,128.036,4
2PYMw8P6kuCHqhltz47XMr,Bah Ouais - Nouvelle École,Dadi,32,1,-5,BE,8/15/24,76,FALSE,201951,Nouvelle École | Saison 3 | La Finale (Série Netflix),7/22/24,0.836,0.591,6,-7.162,1,0.0809,0.389,0,0.161,0.461,128.034,4
1CDQzbCz4KSQxHe7LMEgRM,Houdini,Eminem,33,1,-3,BE,8/15/24,84,TRUE,227032,The Death of Slim Shady (Coup De Grâce),7/12/24,0.936,0.878,9,-2.798,0,0.0723,0.0283,2.31E-06,0.0689,0.902,126.992,4
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,34,-4,4,BE,8/15/24,96,FALSE,195824,Si Antes Te Hubiera Conocido,6/21/24,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4
09CnYHiZ5jGT1wr1TXJ9Zt,Thank You (Not So Bad),"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",35,2,0,BE,8/15/24,86,FALSE,140000,Thank You (Not So Bad),12/1/23,0.673,0.95,11,-5.149,1,0.0488,0.0229,0.0823,0.398,0.563,150.019,4
0uHrMbMv3c78398pIANDqR,Europapa,Joost,36,4,-3,BE,8/15/24,78,FALSE,160218,Europapa,2/29/24,0.706,0.94,11,-4.969,0,0.168,0.173,0.000349,0.228,0.479,160.068,4
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Sabrina Carpenter,37,-2,-3,BE,8/15/24,98,TRUE,186365,Please Please Please,6/6/24,0.669,0.586,9,-6.073,1,0.054,0.274,0,0.104,0.579,107.071,4
3bK1zVFBKIzYjmptmI4NsJ,Overdrive (feat. Norma Jean Martine),"Ofenbach, Norma Jean Martine",38,-2,-1,BE,8/15/24,84,FALSE,155905,Overdrive (feat. Norma Jean Martine),10/6/23,0.611,0.757,6,-3.546,1,0.03,0.00257,0,0.058,0.279,126.963,4
73bDvrmSBh2fr53tLDH9oA,Nightcall,Kavinsky,39,11,11,BE,8/15/24,61,FALSE,257320,OutRun,1/1/13,0.509,0.856,9,-5.091,0,0.0553,0.00895,0.0108,0.424,0.427,91.02,4
3mfER4ORePHvN35cbZ3dkV,Where Are You Now,"Lost Frequencies, Calum Scott",40,-1,5,BE,8/15/24,83,FALSE,149066,All Stand Together,11/10/23,0.762,0.632,6,-8.312,0,0.085,0.51,0.000205,0.18,0.282,121.031,4
4uzKAj0mIyYmyhsRRyPXaQ,Carry You Home,Alex Warren,41,-3,1,BE,8/15/24,84,FALSE,166880,Carry You Home,5/31/24,0.525,0.66,10,-7.094,1,0.111,0.468,3.30E-06,0.128,0.458,123.787,4
59NraMJsLaMCVtwXTSia8i,Prada,"cassö, RAYE, D-Block Europe",42,0,-2,BE,8/15/24,85,TRUE,132359,Prada,8/11/23,0.638,0.717,8,-5.804,1,0.0375,0.001,1.79E-06,0.113,0.422,141.904,4
3hRV0jL3vUpRrcy398teAU,The Night We Met,Lord Huron,43,7,7,BE,8/15/24,90,FALSE,208211,Strange Trails,4/6/15,0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
3dj4wgM3cPeuLwMNHDuBon,The Door,Teddy Swims,44,-1,-3,BE,8/15/24,86,FALSE,212648,I've Tried Everything But Therapy (Part 1),9/15/23,0.731,0.861,8,-5.483,0,0.0532,0.0193,0,0.123,0.759,127.922,4
2hrycoFU1mZw6YPvMcn8yC,KEHLANI,Jordan Adetunji,45,0,-2,BE,8/15/24,88,FALSE,122360,KEHLANI,6/24/24,0.645,0.634,10,-3.769,0,0.0341,0.158,3.78E-06,0.0908,0.352,160.017,4
31nfdEooLEq7dn3UMcIeB5,Vois sur ton chemin - Techno Mix,BENNETT,46,1,1,BE,8/15/24,83,FALSE,178156,Vois sur ton chemin (Techno Mix),8/4/23,0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,4
5b5cPscqVEMChvDqscVw26,Training Season,Dua Lipa,47,-1,-1,BE,8/15/24,83,FALSE,209487,Radical Optimism,5/3/24,0.812,0.587,5,-4.483,0,0.0477,0.0349,2.64E-06,0.123,0.664,123.041,4
6me7F0aaZjwDo6RJ5MrfBD,Evergreen,Richy Mitch & The Coal Miners,48,2,2,BE,8/15/24,89,FALSE,87000,RMCM,5/17/17,0.555,0.216,3,-11.661,1,0.0721,0.557,0.00416,0.109,0.504,79.109,3
629DixmZGHc7ILtEntuiWE,LUNCH,Billie Eilish,49,0,1,BE,8/15/24,93,FALSE,179586,HIT ME HARD AND SOFT,5/17/24,0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,4
3KZN01EuBoqh04jyGXpnxr,Aucune attache,KeBlack,50,-2,0,BE,8/15/24,76,FALSE,161977,Aucune attache,2/2/24,0.828,0.706,2,-6.493,0,0.278,0.44,0.000255,0.161,0.585,92.983,3
1BJJbSX6muJVF2AK7uH1x4,Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",1,0,0,BE,8/14/24,91,FALSE,177598,Move,6/7/24,0.727,0.782,8,-8.529,0,0.042,0.0563,0.336,0.225,0.655,119.992,4
4MSj19TwYBLgDFj3ddEeco,Black Friday (pretty like the sun),"Lost Frequencies, Tom Odell",2,0,0,BE,8/14/24,85,FALSE,145599,Black Friday (pretty like the sun),7/19/24,0.853,0.618,6,-10.833,1,0.0923,0.633,0.89,0.0972,0.32,126.031,4
